                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,Character,DelayAtEnd,Expression,French,English,German,Spanish,Brasilian,Chinese,Italian,Russian,Korean,Japanese
Chap06c_CallCreator02,,,,Vous n'avez pas son numéro ? Alors lisez le premier e-mail de sa messagerie.,Onun numarası sende yok mu? O zaman gelen kutusundaki ilk maile bak.,Du hast seine Nummer nicht? Dann lies die erste E-Mail in seinem Eingang.,¿No tienes su número? Pues lee el primer mensaje de su bandeja de entrada.,Você não tem o número dele? Então leia o primeiro e-mail na caixa de entrada dele.,你没有他的号码吗？那么阅读他收件箱里的第一封邮件。,Non hai il suo numero? Leggi la prima e-mail nella sua casella di posta.,Нет номера? Тогда проверьте первое письмо в его почтовом ящике.,전화번호를 모르나요? 이메일 수신함에서 첫 번째 메일을 읽어보세요.,携帯の番号がわからない？ だったら\n受信箱の最初のメールを見ろ。
Chap06c_CRTshooterHint01,,,,Il semble qu'il faille insérer une pièce de monnaie virtuelle pour jouer.,Görünüşe göre oynayabilmek için sanal bir paraya ihtiyacın var.,"Sieht aus, als müsstest du eine virtuelle Münze einwerfen, um zu spielen.",Parece que tienes que meter una moneda virtual para jugar.,Parece que você precisa inserir uma moeda virtual para jogar.,貌似你需要插入一个虚拟硬币才能玩。,Sembra che per giocare sia necessario inserire una moneta virtuale.,"Похоже, вам нужно вставить виртуальную монету, чтобы играть.",게임을 플레이하려면 가상 동전을 넣어야 할 거 같네요.,プレイするにはバーチャルコインを1枚\n入れなくてはいけないようだ。
Chap06c_CRTshooterHint02,,,,Une autre application semble être dédiée à de la création monétaire en ligne.,Online para kazanmak için başka bir uygulama var gibi görünüyor.,"Es scheint ein anderes Programm zu geben, um Online-Geld zu generieren.",Otra aplicación parece dedicada a crear dinero online.,Parece que tem outro aplicativo para criar dinheiro virtual.,另一个应用貌似可以制造线上货币。,Pare che ci sia un'altra applicazione per la creazione di denaro online.,"Похоже, есть ещё одно приложение для создания онлайн-денег.",온라인 돈을 만들어낼 수 있는 다른 어플이 있는 거 같아요.,仮想通貨を生成するアプリケーションならどこかにあった気がするぞ。
Chap06c_CRTshooterHint03,,,,Faites monter au maximum la jauge de l'application BeatCoin et récupérez la pièce de monnaie.,BeatCoin uygulamasındaki barı maksimuma getir ve parayı al.,Erhöhe die BeatCoin-Programm-Leiste auf Maximum und hol dir die Münze.,Aumenta la barra de la aplicación BeatCoin al máximo y consigue la moneda.,Aumente a barra do aplicativo BeatCoin ao máximo e consiga a moeda.,将BeatCoin应用条增至最大值，并得到硬币。,Fai salire la barra dell’applicazione BeatCoin al massimo per ottenere la moneta.,Заполните полоску приложения BeatCoin до максимума и получите монету.,BeatCoin 막대를 최대한 높여서 동전을 얻어봐요.,BeatCoinアプリケーションのバーを\n最大にすればコインが手に入る。
Chap06c_CRTbeatcoinHint01,,,,Cette application n'arrive plus à fonctionner quand la mémoire est saturée. Faites de la place !,Bu uygulama RAM aşırı yüklüyken çalışamıyor. Biraz boşluk aç!,"Dieses Programm funktioniert nicht, wenn der Speicher belegt ist. Schaffe etwas Platz!",Esta aplicación no funciona si la memoria está saturada. ¡Haz hueco!,Esse aplicativo não funcionará se a memória estiver saturada. Libere espaço!,如果内存占满，这个应用就不能工作。腾出一些空间！,Questa applicazione non può funzionare se la memoria è satura. Fai spazio!,"Это приложение не может работать, если память заполнена. Освободите место!",이 어플은 메모리가 없으면 작동하지 않아요. 공간을 만들어주세요!,このアプリケーションはメモリ不足では\n動かない。空きを作れ！
Chap06c_CRTbeatcoinHint02,,,,"Quand vous fermez une fenêtre, cela libère temporairement une peu de mémoire vive.",Bir pencereyi kapattığında kısa süreliğine biraz RAM boşaltıyor.,"Wenn du ein Fenster schließt, gibt das kurzzeitig etwas Arbeitsspeicher frei.",Cerrando una ventana liberas temporalmente algo de RAM.,"Quando você fecha uma janela, um pouco de espaço da memória é liberado temporariamente.",你关闭一个窗口，就能暂时性释放一些内存。,"Quando si chiude una finestra, si libera temporaneamente un po' di RAM.","Когда вы закрываете окно, оно временно освобождает немного оперативной памяти.","창을 닫으면, 일시적으로 램이 생겨요.",ウィンドウを閉じれば\nRAMが解放されて空きができる。
Chap06c_CRTbeatcoinHint03,,,,"Fermez rapidement le plus de fenêtres possible, le temps que la jauge se remplisse.",Bar dolana kadar pencereleri hızlı bir şekilde kapat.,"Schließe die Fenster so schnell du kannst, während die Leiste sich füllt.",Cierra las ventanas lo más rápidamente que puedas mientras se llena la barra.,Tente fechar as janelas o mais rápido que puder enquanto a barra enche.,在条子上升的时候，尽可能快地多关闭一些窗口。,Chiudi le finestre il più velocemente possibile mentre la barra si riempie.,"Закрывайте окна как можно быстрее, чтобы полоска увеличивалась.",최대한 빨리 창을 닫아서 게이지를 채워보세요.,バーがいっぱいになるまで、できるだけ\n速くウィンドウを閉じまくれ。
Chap06c_CRTminesweeperHint01,,,,Ce démineur est impossible à résoudre. Mais c'est voulu.,Bu mayın tarlasını kazanmak imkansız. Ama zaten böyle olması gerekli.,Dieses Minesweeper kannst du nicht gewinnen. Aber das soll so sein.,"No hay forma de ganar en este buscaminas, pero se supone que es así.",Esse caça-minas é impossível de vencer. Mas é pra ser assim mesmo.,这个扫雷游戏是不可能赢的。就是这样子的。,Questo campo minato è impossibile da vincere. Ma deve essere così.,В этом сапёре невозможно выиграть. Но так и должно быть.,이 지뢰찾기는 이길 수가 없어요. 원래 이렇게 만들어졌어요.,このマインスイーパーはクリア不可能だ。でも、意図的にこうなってるのかも。
Chap06c_CRTminesweeperHint02,,,,"Il faudrait faire exploser cette bombe, encore faut-il trouver de quoi allumer la mèche.",Bu bombayı patlatman gerek ama önce fünyeyi yakacak bir şeye ihtiyacın var.,"Du musst dafür sorgen, dass diese Bombe hochgeht. Aber du musst zuerst etwas finden, um die Zündschnur zu entzünden.","Tienes que hacer estallar esta bomba, pero primero tendrás que encontrar algo para encender la mecha.","Você tem que fazer a bomba explodir, mas primeiro terá que encontrar algo para acender o pavio.",你得让这个炸弹爆炸，但首先你需要找到个什么东西点燃导火线。,"Devi far esplodere questa bomba, ma prima devi trovare qualcosa per accendere la miccia.","Нужно взорвать эту бомбу, но сначала следует найти то, чем можно зажечь фитиль.",이 폭탄을 터뜨려야 해요. 하지만 먼저 불을 붙일 수 있는 걸 찾아야 해요.,爆弾を爆発させないといけないが、\nそれには導火線に火をつける物が要る。
Chap06c_CRTminesweeperHint03,,,,Le jeu Shoot'em Up possède un PowerUp 'Lance-flamme'. Vous faites le rapprochement ?,"Shoot'emUp oyununda bir ""Alev Silahı"" güçlendirmesi var. Anladın mı?",Das Shoot‘em Up hat ein „Flammenwerfer“-Power-up. Verstehst du?,"El juego Shoot'em Up tiene una mejora de ""Lanzallamas"". ¿Lo pillas?",O jogo Shoot'em Up tem um powerup de “Lança-chamas”. Entendeu?,Shoot'em Up游戏里有一个“喷火器”神圣能量。懂了吗？,"Lo sparatutto ha un PowerUp ""Lanciafiamme”. Capito?",В игре-стрелялке есть огнемёт. Доходит?,"슈팅 게임에 ""화염방사기"" 파워업이 있어요. 봤나요?",シューティングゲームのパワーアップアイテム\nに「火炎放射器」がある。あとはわかるな。
Chap06c_CRTtictactoeHint01,,,,Exploitez le jeu du morpion pour rétablir le transfert de GiGi.,Tic-tac-toe oyununu kullanarak GiGi'nin transferini düzelt.,"Nutze das Tic-Tac-Toe-Spiel, um GiGis Übertragung wiederherzustellen.",Usa el juego de tres en raya para restaurar la transferencia de GiGi.,Use o jogo da velha para restaurar a transferência da GiGi.,用井字棋游戏来恢复吉吉的转移。,Usa il gioco del tris per ripristinare il trasferimento di GiGi.,"Играйте в крестики-нолики, чтобы продолжить перемещение ДжиДжи.",틱택토 게임을 이용해 지지의 전송을 복구하세요.,三目並べを利用して\nジジの転送を再開させろ。
Chap06c_CRTtictactoeHint02,,,,Les symboles du jeu peuvent être attrapés pendant leur chute.,Oyundan düşen sembolleri tutabilirsin.,"Die Symbole des Spiels können aufgefangen werden, wenn sie fallen.",Los símbolos del juego pueden cogerse según caen.,Os símbolos do jogo podem ser pegos ao caírem.,在游戏的符号向下落的时候，抓住它们。,I simboli del gioco possono essere presi mentre cadono.,"Символы из игры можно поймать,когда они падают.",게임의 기호가 떨어지면 잡을 수 있어요.,ゲームからこぼれ落ちる○×マークは\n拾うことができる。
Chap06c_CRTtictactoeHint03,,,,Lâchez plusieurs fois l'un des symboles du jeu sur la fenêtre de transfert pour la remettre d'aplomb.,Oyunun sembollerinden birini transfer penceresinin üstüne düşürerek pencereyi düzelt.,"Wirf eines der Spielesymbole mehrfach auf das Übertragungsfenster, um es zu glätten.",Suelta varias veces uno de los símbolos del juego en la ventana de transferencia para enderezarla.,Coloque um dos símbolos do jogo na janela de transferência várias vezes para endireitá-la.,将游戏的其中一个符号投在转移窗上，多重复几次，将窗口放正。,Fai cadere più volte uno dei simboli del gioco sulla finestra di trasferimento per raddrizzarla.,"Несколько раз бросьте один из символов игры на окно перемещения, чтобы выровнять его.",게임의 기호를 하나 잡고 전송 창에 떨어뜨려서 제대로 돌려놓으세요.,転送ウィンドウの傾きを直すには、三目並べのマークを何回か落としてやればいい。
Chap06c_CRTbounceHint01,,,,La ligne de code qu'a tapé le créateur va vous être utile.,Yaratıcının girdiği kod işimize yarayacak.,"Diese Codezeile, die der Schöpfer eingegeben hat, wird nützlich sein.",La línea de código que introdujo el creador será útil.,A linha de código que o criador digitou será útil.,创作者输入的一行代码会有用。,La riga di codice digitata dal creatore sarà utile.,"Кодовая строка, которую вводит создатель, будет полезна.",제작자가 입력한 코드 줄이 유용할 거예요.,作者が入力したコードの文字列が役に立つだろう。
Chap06c_CRTbounceHint02,,,,Faites tomber un symbole sur la ligne de code pour la décrocher puis servez-vous.,Kodun üzerine bir sembol fırlat ve kod satırını tutarak hareket ettir.,"Wirf ein Symbol auf die Codezeile, um sie aufzuheben und einzusetzen.",Suelta un símbolo en la línea de código para recogerlo y usarlo.,Coloque um símbolo na linha de código para pegá-lo e usá-lo.,投一个符号在那行代码上，把它捡起来用。,Fai cadere un simbolo sulla riga di codice per raccoglierla e utilizzarla.,"Бросьте символ на кодовую строку, чтобы отделить её и использовать.",코드 줄에 기호를 떨어뜨려서 코드를 사용하세요.,落ちてくる記号をコードの文字列で受け止めて利用しよう。
Chap06c_CRTbounceHint03,,,,Faites rebondir des symboles O suffisamment haut pour toucher la fenêtre de transfert.,Transfer penceresine yetişebilmeleri için O'ları yeterince zıplat.,"Sorge dafür, dass die O‘s hoch genug springen, um das Übertragungsfenster zu berühren.",Haz que los símbolos O reboten lo suficiente como para tocar la ventana de transferencia.,Faça os Os quicaram alto o bastante para encostarem na janela de transferência.,让O跳得足够高，以至于触到转移窗。,Fai rimbalzare le O abbastanza in alto da toccare la finestra di trasferimento.,"Заставьте знак ""О"" подпрыгнуть так, чтобы он коснулся окна переноса.",O를 높이 튕겨서 전송창을 맞추세요.,○を高く跳ね返して、転送ウィンドウにぶつけよう。
Chap06c_CRTFinalFightHint01,,,,Essayez d'attraper et de maintenir Mr Glitch le plus loin possible de la ligne de commande.,Bay Hata'yı yakalayarak komut satırından olabildiğince uzak bir yerde tutmaya çalış.,"Versuche, Mr. Glitch einzufangen, und halte ihn so weit wie möglich vom Code fern.",Intenta atrapar a Mr. Glitch y mantenerlo lo más alejado posible del código.,Tente agarrar o Mr. Glitch e deixá-lo afastado o mais longe possível do código.,试着抓住Mr. Glitch，让他尽可能地远离代码。,Cerca di catturare Mr. Glitch e tienilo il più lontano possibile dal codice.,Постарайтесь поймать мистера Глюка и держать его как можно дальше от кода.,글리치를 붙잡아 코드에서 가능한 멀리 떨어지게 하세요.,Mr.グリッチをつかまえて、\nコードからできるだけ引き離そう。
